x,y,z
200723.50,629907.50,29.67
200725.50,629907.50,33.69
200726.50,629907.50,35.74
200730.50,629907.50,29.92
200731.50,629907.50,30.07
200732.50,629907.50,41.62
200733.50,629907.50,41.59
200734.50,629907.50,42.29
200746.50,629907.50,30.20
200747.50,629907.50,29.95
200749.50,629907.50,30.92
200750.50,629907.50,30.31
200751.50,629907.50,30.66
200752.50,629907.50,29.94
200753.50,629907.50,31.00
200757.50,629907.50,31.00
200759.50,629907.50,30.05
200676.50,629906.50,33.01
200680.50,629906.50,32.23
200681.50,629906.50,32.49
200682.50,629906.50,32.80
200685.50,629906.50,35.81
200688.50,629906.50,31.50
200689.50,629906.50,30.70
200690.50,629906.50,31.51
200691.50,629906.50,31.11
200692.50,629906.50,31.24
200693.50,629906.50,38.55
200694.50,629906.50,36.42
200695.50,629906.50,39.81
200698.50,629906.50,45.23
200700.50,629906.50,45.64
200714.50,629906.50,35.81
200715.50,629906.50,36.09
200716.50,629906.50,35.71
200717.50,629906.50,36.56
200718.50,629906.50,36.75
200723.50,629906.50,29.56
200724.50,629906.50,29.90
200725.50,629906.50,30.06
200726.50,629906.50,29.85
200727.50,629906.50,29.67
200729.50,629906.50,29.98
200730.50,629906.50,30.03
200731.50,629906.50,29.98
200732.50,629906.50,30.07
200733.50,629906.50,41.90
200734.50,629906.50,42.51
200742.50,629906.50,35.46
200747.50,629906.50,30.40
200748.50,629906.50,30.15
200749.50,629906.50,30.62
200750.50,629906.50,29.90
200751.50,629906.50,29.99
200752.50,629906.50,29.99
200753.50,629906.50,31.02
200754.50,629906.50,30.96
200755.50,629906.50,30.00
200757.50,629906.50,29.99
200760.50,629906.50,29.95
200680.50,629905.50,32.03
200681.50,629905.50,31.72
200682.50,629905.50,32.79
200683.50,629905.50,34.61
200689.50,629905.50,28.61
200690.50,629905.50,31.15
200691.50,629905.50,30.91
200692.50,629905.50,31.34
200693.50,629905.50,36.85
200694.50,629905.50,36.81
200695.50,629905.50,39.76
200696.50,629905.50,41.77
200712.50,629905.50,29.03
200713.50,629905.50,29.12
200714.50,629905.50,29.32
200715.50,629905.50,36.27
200716.50,629905.50,36.18
200719.50,629905.50,36.51
200720.50,629905.50,35.56
200721.50,629905.50,29.77
200722.50,629905.50,29.77
200723.50,629905.50,29.57
200724.50,629905.50,29.59
200725.50,629905.50,29.64
200726.50,629905.50,29.70
200727.50,629905.50,29.73
200728.50,629905.50,29.78
200729.50,629905.50,29.82
200731.50,629905.50,40.07
200733.50,629905.50,42.50
200744.50,629905.50,29.91
200745.50,629905.50,29.97
200746.50,629905.50,29.82
200747.50,629905.50,29.96
200748.50,629905.50,30.04
200750.50,629905.50,29.75
200751.50,629905.50,29.95
200752.50,629905.50,30.02
200753.50,629905.50,30.36
200754.50,629905.50,30.99
200757.50,629905.50,30.08
200759.50,629905.50,29.99
200760.50,629905.50,30.00
200679.50,629904.50,36.34
200680.50,629904.50,31.85
200681.50,629904.50,32.27
200682.50,629904.50,32.23
200683.50,629904.50,32.94
200684.50,629904.50,34.55
200688.50,629904.50,28.66
200689.50,629904.50,28.47
200690.50,629904.50,30.03
200691.50,629904.50,30.99
200692.50,629904.50,31.42
200694.50,629904.50,30.91
200695.50,629904.50,37.40
200696.50,629904.50,40.60
200706.50,629904.50,35.72
200707.50,629904.50,35.49
200712.50,629904.50,29.12
200713.50,629904.50,29.29
200714.50,629904.50,29.47
200715.50,629904.50,29.44
200716.50,629904.50,29.13
200717.50,629904.50,35.28
200718.50,629904.50,35.97
200721.50,629904.50,29.66
200722.50,629904.50,29.78
200723.50,629904.50,29.80
200724.50,629904.50,29.58
200725.50,629904.50,29.56
200726.50,629904.50,29.65
200727.50,629904.50,29.71
200728.50,629904.50,29.70
200729.50,629904.50,29.80
200732.50,629904.50,30.00
200747.50,629904.50,29.80
200748.50,629904.50,29.94
200750.50,629904.50,29.89
200751.50,629904.50,29.94
200752.50,629904.50,29.95
200753.50,629904.50,30.38
200754.50,629904.50,30.85
200755.50,629904.50,29.87
200756.50,629904.50,30.03
200757.50,629904.50,29.86
200758.50,629904.50,30.00
200759.50,629904.50,29.99
200761.50,629904.50,30.22
200762.50,629904.50,29.75
200672.50,629903.50,33.88
200679.50,629903.50,36.60
200680.50,629903.50,31.56
200681.50,629903.50,30.95
200682.50,629903.50,31.21
200683.50,629903.50,31.60
200684.50,629903.50,28.55
200685.50,629903.50,28.57
200686.50,629903.50,28.63
200687.50,629903.50,28.62
200688.50,629903.50,28.64
200689.50,629903.50,28.71
200690.50,629903.50,28.68
200691.50,629903.50,29.48
200692.50,629903.50,30.52
200694.50,629903.50,35.99
200695.50,629903.50,35.73
200696.50,629903.50,36.41
200697.50,629903.50,40.93
200707.50,629903.50,36.11
200710.50,629903.50,29.13
200711.50,629903.50,29.24
200712.50,629903.50,29.19
200714.50,629903.50,29.60
200715.50,629903.50,29.26
200716.50,629903.50,29.55
200717.50,629903.50,29.30
200718.50,629903.50,31.81
200719.50,629903.50,32.02
200720.50,629903.50,29.46
200721.50,629903.50,29.46
200722.50,629903.50,29.47
200723.50,629903.50,29.50
200724.50,629903.50,29.50
200725.50,629903.50,29.61
200726.50,629903.50,29.61
200727.50,629903.50,29.73
200728.50,629903.50,29.91
200729.50,629903.50,29.91
200730.50,629903.50,29.85
